n,ops-best,ops-average,ops-worst,B lin,A lin,W lin
5,2,4,4,2.5,1.25,1.25
6,2,5,5,3,1.2,1.2
7,2,7,6,3.5,1,1.166666667
8,2,8,7,4,1,1.142857143
9,2,5,8,4.5,1.8,1.125
10,2,7,9,5,1.428571429,1.111111111
11,2,9,10,5.5,1.222222222,1.1
12,2,4,11,6,3,1.090909091
13,2,7,12,6.5,1.857142857,1.083333333
14,2,8,13,7,1.75,1.076923077
15,2,10,14,7.5,1.5,1.071428571
16,2,15,15,8,1.066666667,1.066666667
17,2,16,16,8.5,1.0625,1.0625
18,2,8,17,9,2.25,1.058823529
19,2,11,18,9.5,1.727272727,1.055555556
20,2,7,19,10,2.857142857,1.052631579
21,2,10,20,10.5,2.1,1.05
22,2,13,21,11,1.692307692,1.047619048
23,2,9,22,11.5,2.555555556,1.045454545
24,2,19,23,12,1.263157895,1.043478261
25,2,4,24,12.5,6.25,1.041666667
26,2,13,25,13,2,1.04
27,2,14,26,13.5,1.928571429,1.038461538
28,2,22,27,14,1.272727273,1.037037037
29,2,14,28,14.5,2.071428571,1.035714286
30,2,22,29,15,1.363636364,1.034482759
31,2,21,30,15.5,1.476190476,1.033333333
32,2,18,31,16,1.777777778,1.032258065
33,2,12,32,16.5,2.75,1.03125
34,2,9,33,17,3.777777778,1.03030303
35,2,35,34,17.5,1,1.029411765
36,2,25,35,18,1.44,1.028571429
37,2,23,36,18.5,1.608695652,1.027777778
38,2,9,37,19,4.222222222,1.027027027
39,2,7,38,19.5,5.571428571,1.026315789
40,2,6,39,20,6.666666667,1.025641026
41,2,25,40,20.5,1.64,1.025
42,2,37,41,21,1.135135135,1.024390244
43,2,5,42,21.5,8.6,1.023809524
44,2,31,43,22,1.419354839,1.023255814
45,2,37,44,22.5,1.216216216,1.022727273
46,2,14,45,23,3.285714286,1.022222222
47,2,16,46,23.5,2.9375,1.02173913
48,2,7,47,24,6.857142857,1.021276596
49,2,49,48,24.5,1,1.020833333
50,2,32,49,25,1.5625,1.020408163
51,2,48,50,25.5,1.0625,1.02
52,2,12,51,26,4.333333333,1.019607843
53,2,18,52,26.5,2.944444444,1.019230769
54,2,22,53,27,2.454545455,1.018867925
55,2,32,54,27.5,1.71875,1.018518519
56,2,55,55,28,1.018181818,1.018181818
57,2,33,56,28.5,1.727272727,1.017857143
58,2,25,57,29,2.32,1.01754386
59,2,51,58,29.5,1.156862745,1.017241379
60,2,32,59,30,1.875,1.016949153
61,2,60,60,30.5,1.016666667,1.016666667
62,2,2,61,31,31,1.016393443
63,2,42,62,31.5,1.5,1.016129032
64,2,61,63,32,1.049180328,1.015873016
65,2,37,64,32.5,1.756756757,1.015625
66,2,21,65,33,3.142857143,1.015384615
67,2,34,66,33.5,1.970588235,1.015151515
68,2,24,67,34,2.833333333,1.014925373
69,2,55,68,34.5,1.254545455,1.014705882
70,2,43,69,35,1.627906977,1.014492754
71,2,6,70,35.5,11.83333333,1.014285714
72,2,43,71,36,1.674418605,1.014084507
73,2,2,72,36.5,36.5,1.013888889
74,2,72,73,37,1.027777778,1.01369863
75,2,30,74,37.5,2.5,1.013513514
76,2,12,75,38,6.333333333,1.013333333
77,2,40,76,38.5,1.925,1.013157895
78,2,33,77,39,2.363636364,1.012987013
79,2,28,78,39.5,2.821428571,1.012820513
80,2,67,79,40,1.194029851,1.012658228
81,2,26,80,40.5,3.115384615,1.0125
82,2,41,81,41,2,1.012345679
83,2,20,82,41.5,4.15,1.012195122
84,2,58,83,42,1.448275862,1.012048193
85,2,3,84,42.5,28.33333333,1.011904762
86,2,57,85,43,1.50877193,1.011764706
87,2,27,86,43.5,3.222222222,1.011627907
88,2,48,87,44,1.833333333,1.011494253
89,2,21,88,44.5,4.238095238,1.011363636
90,2,39,89,45,2.307692308,1.011235955
91,2,14,90,45.5,6.5,1.011111111
92,2,84,91,46,1.095238095,1.010989011
93,2,82,92,46.5,1.134146341,1.010869565
94,2,36,93,47,2.611111111,1.010752688
95,2,55,94,47.5,1.727272727,1.010638298
96,2,58,95,48,1.655172414,1.010526316
97,2,37,96,48.5,2.621621622,1.010416667
98,2,87,97,49,1.126436782,1.010309278
99,2,5,98,49.5,19.8,1.010204082
