n,ops-best,ops-average,ops-worst,Best Linear,Avg Linear,Worst Linear,Best Quad,Avg Quad,Worst Quad
5,25,28,31,5,5.6,6.2,1,1.12,1.24
6,33,37,41,5.5,6.166666667,6.833333333,0.916666667,1.027777778,1.138888889
7,42,49,54,6,7,7.714285714,0.857142857,1,1.102040816
8,52,60,68,6.5,7.5,8.5,0.8125,0.9375,1.0625
9,63,78,83,7,8.666666667,9.222222222,0.777777778,0.962962963,1.024691358
10,75,91,100,7.5,9.1,10,0.75,0.91,1
11,88,102,116,8,9.272727273,10.54545455,0.727272727,0.842975207,0.958677686
12,102,116,138,8.5,9.666666667,11.5,0.708333333,0.805555556,0.958333333
13,117,134,159,9,10.30769231,12.23076923,0.692307692,0.792899408,0.940828402
14,133,154,177,9.5,11,12.64285714,0.678571429,0.785714286,0.903061224
15,150,180,206,10,12,13.73333333,0.666666667,0.8,0.915555556
16,168,197,232,10.5,12.3125,14.5,0.65625,0.76953125,0.90625
17,187,216,259,11,12.70588235,15.23529412,0.647058824,0.747404844,0.896193772
18,207,233,288,11.5,12.94444444,16,0.638888889,0.719135802,0.888888889
19,228,264,318,12,13.89473684,16.73684211,0.631578947,0.731301939,0.880886427
20,250,288,350,12.5,14.4,17.5,0.625,0.72,0.875
21,273,307,376,13,14.61904762,17.9047619,0.619047619,0.696145125,0.85260771
22,297,351,418,13.5,15.95454545,19,0.613636364,0.725206612,0.863636364
23,322,372,454,14,16.17391304,19.73913043,0.608695652,0.703213611,0.858223062
24,348,383,488,14.5,15.95833333,20.33333333,0.604166667,0.664930556,0.847222222
25,375,417,531,15,16.68,21.24,0.6,0.6672,0.8496
26,403,458,572,15.5,17.61538462,22,0.596153846,0.677514793,0.846153846
27,432,488,614,16,18.07407407,22.74074074,0.592592593,0.669410151,0.842249657
28,462,505,658,16.5,18.03571429,23.5,0.589285714,0.644132653,0.839285714
29,493,561,688,17,19.34482759,23.72413793,0.586206897,0.66706302,0.818073722
30,525,582,750,17.5,19.4,25,0.583333333,0.646666667,0.833333333
31,558,616,798,18,19.87096774,25.74193548,0.580645161,0.640998959,0.830385016
32,592,686,848,18.5,21.4375,26.5,0.578125,0.669921875,0.828125
33,627,692,883,19,20.96969697,26.75757576,0.575757576,0.635445363,0.810835629
34,663,733,937,19.5,21.55882353,27.55882353,0.573529412,0.634083045,0.810553633
35,700,777,1004,20,22.2,28.68571429,0.571428571,0.634285714,0.819591837
36,738,822,1051,20.5,22.83333333,29.19444444,0.569444444,0.634259259,0.81095679
37,777,852,1119,21,23.02702703,30.24324324,0.567567568,0.622352082,0.817384953
38,817,909,1171,21.5,23.92105263,30.81578947,0.565789474,0.629501385,0.810941828
39,858,939,1238,22,24.07692308,31.74358974,0.564102564,0.617357002,0.813938199
40,900,992,1289,22.5,24.8,32.225,0.5625,0.62,0.805625
41,943,1056,1363,23,25.75609756,33.24390244,0.56097561,0.628197501,0.810826889
42,987,1082,1428,23.5,25.76190476,34,0.55952381,0.613378685,0.80952381
43,1032,1146,1494,24,26.65116279,34.74418605,0.558139535,0.619794484,0.808004327
44,1078,1177,1562,24.5,26.75,35.5,0.556818182,0.607954545,0.806818182
45,1125,1238,1631,25,27.51111111,36.24444444,0.555555556,0.611358025,0.805432099
46,1173,1283,1697,25.5,27.89130435,36.89130435,0.554347826,0.606332703,0.801984877
47,1222,1334,1768,26,28.38297872,37.61702128,0.553191489,0.603893164,0.800362155
48,1272,1382,1836,26.5,28.79166667,38.25,0.552083333,0.599826389,0.796875
49,1323,1449,1911,27,29.57142857,39,0.551020408,0.603498542,0.795918367
50,1375,1510,2000,27.5,30.2,40,0.55,0.604,0.8
51,1428,1569,2078,28,30.76470588,40.74509804,0.549019608,0.603229527,0.798923491
52,1482,1622,2158,28.5,31.19230769,41.5,0.548076923,0.599852071,0.798076923
53,1537,1676,2239,29,31.62264151,42.24528302,0.547169811,0.596653613,0.797080812
54,1593,1726,2311,29.5,31.96296296,42.7962963,0.546296296,0.591906722,0.792524005
55,1650,1804,2406,30,32.8,43.74545455,0.545454545,0.596363636,0.795371901
56,1708,1861,2470,30.5,33.23214286,44.10714286,0.544642857,0.593431122,0.787627551
57,1767,1908,2554,31,33.47368421,44.80701754,0.543859649,0.587257618,0.786088027
58,1827,1975,2658,31.5,34.05172414,45.82758621,0.543103448,0.587098692,0.790130797
59,1888,2048,2758,32,34.71186441,46.74576271,0.542372881,0.588336685,0.792301063
60,1950,2115,2850,32.5,35.25,47.5,0.541666667,0.5875,0.791666667
61,2013,2165,2920,33,35.49180328,47.86885246,0.540983607,0.581832841,0.784735286
62,2077,2250,3010,33.5,36.29032258,48.5483871,0.540322581,0.585327784,0.783038502
63,2142,2314,3105,34,36.73015873,49.28571429,0.53968254,0.583018393,0.782312925
64,2208,2372,3232,34.5,37.0625,50.5,0.5390625,0.579101563,0.7890625
65,2275,2425,3331,35,37.30769231,51.24615385,0.538461538,0.573964497,0.788402367
66,2343,2524,3432,35.5,38.24242424,52,0.537878788,0.57943067,0.787878788
67,2412,2603,3534,36,38.85074627,52.74626866,0.537313433,0.579861885,0.787257741
68,2482,2695,3638,36.5,39.63235294,53.5,0.536764706,0.58282872,0.786764706
69,2553,2777,3743,37,40.24637681,54.24637681,0.536231884,0.583280823,0.786179374
70,2625,2850,3820,37.5,40.71428571,54.57142857,0.535714286,0.581632653,0.779591837
71,2698,2920,3958,38,41.12676056,55.74647887,0.535211268,0.579250149,0.785161674
72,2772,2962,4068,38.5,41.13888889,56.5,0.534722222,0.571373457,0.784722222
73,2847,3035,4179,39,41.57534247,57.24657534,0.534246575,0.569525239,0.784199662
74,2923,3159,4292,39.5,42.68918919,58,0.533783784,0.576880935,0.783783784
75,3000,3223,4406,40,42.97333333,58.74666667,0.533333333,0.572977778,0.783288889
76,3078,3302,4522,40.5,43.44736842,59.5,0.532894737,0.5716759,0.782894737
77,3157,3378,4606,41,43.87012987,59.81818182,0.532467532,0.569741946,0.776859504
78,3237,3452,4737,41.5,44.25641026,60.73076923,0.532051282,0.567389875,0.778599606
79,3318,3529,4873,42,44.67088608,61.6835443,0.53164557,0.565454254,0.780804358
80,3400,3674,4948,42.5,45.925,61.85,0.53125,0.5740625,0.773125
81,3483,3730,5123,43,46.04938272,63.24691358,0.530864198,0.568510898,0.780826094
82,3567,3811,5220,43.5,46.47560976,63.65853659,0.530487805,0.566775729,0.776323617
83,3652,3921,5355,44,47.24096386,64.51807229,0.530120482,0.569168239,0.777326172
84,3738,4011,5476,44.5,47.75,65.19047619,0.529761905,0.568452381,0.776077098
85,3825,4099,5624,45,48.22352941,66.16470588,0.529411765,0.56733564,0.778408304
86,3913,4192,5762,45.5,48.74418605,67,0.529069767,0.566792861,0.779069767
87,4002,4266,5844,46,49.03448276,67.17241379,0.528735632,0.563614744,0.77209671
88,4092,4371,6005,46.5,49.67045455,68.23863636,0.528409091,0.564436983,0.77543905
89,4183,4431,6020,47,49.78651685,67.64044944,0.528089888,0.559399066,0.76000505
90,4275,4561,6300,47.5,50.67777778,70,0.527777778,0.56308642,0.777777778
91,4368,4628,6438,48,50.85714286,70.74725275,0.527472527,0.558869702,0.777442338
92,4462,4797,6567,48.5,52.14130435,71.38043478,0.527173913,0.566753308,0.775874291
93,4557,4839,6719,49,52.03225806,72.24731183,0.52688172,0.559486646,0.776852815
94,4653,4958,6862,49.5,52.74468085,73,0.526595745,0.561113626,0.776595745
95,4750,5026,6971,50,52.90526316,73.37894737,0.526315789,0.556897507,0.772409972
96,4848,5142,7109,50.5,53.5625,74.05208333,0.526041667,0.557942708,0.771375868
97,4947,5279,7280,51,54.42268041,75.05154639,0.525773196,0.561058561,0.773727282
98,5047,5384,7412,51.5,54.93877551,75.63265306,0.525510204,0.56059975,0.771761766
99,5148,5467,7551,52,55.22222222,76.27272727,0.525252525,0.557800224,0.770431589
